Pick-up Latitude,Pick-up Longitude
38.009951,-121.300767
38.009951,-121.300767
37.95676,-121.257026
38.009951,-121.300767
37.95676,-121.257026
38.009951,-121.300767
37.95676,-121.257026
38.021465,-121.302786
38.022375,-121.300789
37.95676,-121.257026
37.95676,-121.257026
37.95676,-121.257026
37.714621,-121.431919
37.886633,-121.275123
37.95676,-121.257026
37.95676,-121.257026
37.95676,-121.257026
37.95676,-121.257026
37.95676,-121.257026
38.009951,-121.300767
38.00932,-121.316082
37.699327,-121.425733
38.033782,-121.353281
37.912868,-121.313813
38.009906,-121.300452
38.009906,-121.300452
38.004498,-121.294577
37.886633,-121.275123
37.886633,-121.275123
37.932559,-121.299537
37.987336,-121.244976
38.02151,-121.324454
38.00932,-121.316082
37.956677,-121.339666
38.15598,-121.153971
38.007122,-121.296855
38.007122,-121.296855
37.942074,-121.269576
38.021614,-121.082979
37.95676,-121.257026
37.95676,-121.257026
38.00932,-121.316082
37.95676,-121.257026
38.021465,-121.302786
38.033605,-121.354565
38.033782,-121.353281
37.95676,-121.257026
37.95676,-121.257026
37.912868,-121.313813
38.009906,-121.300452
38.004498,-121.294577
37.986672,-121.268805
37.752505,-121.135477
37.750185,-121.469876
37.751782,-121.472349
37.987258,-121.31976
38.022375,-121.300789
38.021718,-121.315815
38.004498,-121.294577
38.033782,-121.353281
37.912868,-121.313813
38.009906,-121.300452
37.886633,-121.275123
37.886633,-121.275123
37.886633,-121.275123
37.886633,-121.275123
38.021996,-121.353136
37.699327,-121.425733
37.92022,-121.258028
38.021465,-121.302786
37.714621,-121.431919
37.700359,-121.44756
38.021465,-121.302786
38.033605,-121.354565
37.912868,-121.313813
38.009906,-121.300452
37.886633,-121.275123
38.021996,-121.353136
38.00932,-121.316082
38.040958,-121.25779
37.729957,-121.4497
37.792401,-121.210519
37.987258,-121.31976
38.021614,-121.082979
37.907673,-121.315001
37.965057,-121.337103
37.965057,-121.337103
37.965057,-121.337103
38.022375,-121.300789
38.033782,-121.353281
37.912868,-121.313813
38.009906,-121.300452
38.133827,-121.270747
37.886633,-121.275123
37.950286,-121.272562
37.950286,-121.272562
37.965057,-121.337103
37.985239,-121.30514
37.926641,-121.26333
37.886633,-121.275123
38.043988,-121.270214
38.022375,-121.300789
38.022375,-121.300789
38.022375,-121.300789
37.912868,-121.313813
38.004498,-121.294577
38.055698,-121.258615
37.987258,-121.31976
37.987258,-121.31976
38.022375,-121.300789
37.986155,-121.273277
38.021718,-121.315815
38.022375,-121.300789
38.022375,-121.300789
38.033782,-121.353281
37.954111,-121.279272
38.000396,-121.337946
37.96252,-121.297678
37.987258,-121.31976
38.022375,-121.300789
37.907673,-121.315001
38.022375,-121.300789
38.022375,-121.300789
38.022375,-121.300789
38.022375,-121.300789
38.022375,-121.300789
38.022375,-121.300789
38.022375,-121.300789
37.963037,-121.25508
38.039346,-121.351639
37.954111,-121.279272
38.004498,-121.294577
38.004498,-121.294577
38.039346,-121.351639
37.912868,-121.313813
37.987258,-121.31976
38.021614,-121.082979
38.029605,-121.320363
38.022375,-121.300789
38.022375,-121.300789
38.033782,-121.353281
38.039346,-121.351639
37.95676,-121.257026
38.039346,-121.351639
37.954111,-121.279272
37.995855,-121.304114
38.133827,-121.270747
38.039346,-121.351639
38.039346,-121.351639
37.950286,-121.272562
38.010511,-121.356777
38.005957,-121.355611
38.021614,-121.082979
38.039346,-121.351639
38.039346,-121.351639
37.95676,-121.257026
37.963037,-121.25508
38.0027,-121.289727
37.963037,-121.25508
38.224645,-121.426315
37.987258,-121.31976
37.920054,-121.241555
37.72495,-121.460905
37.920054,-121.241555
37.968085,-121.288043
38.033782,-121.353281
37.920054,-121.241555
38.039346,-121.351639
37.995855,-121.304114
38.022375,-121.300789
37.987018,-121.256679
38.022375,-121.300789
37.920054,-121.241555
37.968085,-121.288043
37.920054,-121.241555
37.95984,-121.284591
37.954111,-121.279272
37.907673,-121.315001
37.920054,-121.241555
37.968085,-121.288043
37.968085,-121.288043
37.921765,-121.3127
37.745977,-121.461102
37.984304,-121.296785
37.995855,-121.304114
38.133827,-121.270747
38.133827,-121.270747
37.978684,-121.29264
37.794563,-121.214989
37.794563,-121.214989
37.911742,-121.316409
37.920054,-121.241555
38.039346,-121.351639
38.039346,-121.351639
38.033782,-121.353281
38.133827,-121.270747
37.979135,-121.473869
37.984304,-121.296785
37.987077,-121.291016
37.958066,-121.289071
37.978684,-121.29264
37.978684,-121.29264
37.825082,-121.288965
37.745977,-121.461102
37.734634,-121.426544
37.752505,-121.135477
38.133675,-121.272157
37.966401,-121.240912
37.745977,-121.461102
37.966401,-121.240912
37.920054,-121.241555
37.734634,-121.426544
37.745404,-121.404442
37.920054,-121.241555
37.958066,-121.289071
37.958066,-121.289071
37.920054,-121.241555
38.01745,-121.355728
37.979135,-121.473869
37.978529,-121.321705
37.978529,-121.321705
37.968085,-121.288043
37.995855,-121.304114
37.984304,-121.296785
37.984304,-121.296785
37.978529,-121.321705
37.920054,-121.241555
37.920054,-121.241555
38.018597,-121.277806
37.978529,-121.321705
37.978529,-121.321705
37.978529,-121.321705
37.978529,-121.321705
38.018597,-121.277806
37.745977,-121.461102
38.033782,-121.353281
37.920054,-121.241555
38.133827,-121.270747
37.745404,-121.404442
37.984304,-121.296785
37.898215,-121.3227
37.918846,-121.234158
37.974295,-121.290174
37.988017,-121.305547
38.018597,-121.277806
38.018597,-121.277806
37.984304,-121.296785
37.96269,-121.294144
37.979135,-121.473869
37.969597,-121.289969
38.03088,-121.313184
38.021614,-121.082979
38.024107,-121.340113
37.979135,-121.473869
37.978529,-121.321705
38.022844,-121.293054
37.825082,-121.288965
38.018597,-121.277806
37.748562,-121.431802
37.932188,-121.27844
37.978529,-121.321705
38.022844,-121.293054
37.907673,-121.315001
37.825082,-121.288965
37.76508,-121.450103
37.76508,-121.450103
37.974295,-121.290174
38.013402,-121.281538
37.920054,-121.241555
37.753639,-121.408631
38.022844,-121.293054
38.022844,-121.293054
37.765936,-121.450574
37.978529,-121.321705
38.022844,-121.293054
37.932188,-121.27844
37.739996,-121.449449
37.739996,-121.449449
37.907673,-121.315001
38.013402,-121.281538
37.823274,-121.288114
37.922579,-121.306663
37.953278,-121.288758
37.754244,-121.431214
38.033602,-121.333426
37.998031,-121.287584
37.739996,-121.449449
37.898215,-121.3227
37.918846,-121.234158
38.013402,-121.281538
37.967067,-121.324583
37.7575,-121.458814
37.988017,-121.305547
37.823274,-121.288114
37.974295,-121.290174
38.013402,-121.281538
37.97797,-121.291682
37.907673,-121.315001
37.994349,-121.170404
37.989793,-121.323335
37.971827,-121.289905
38.002271,-121.28852
38.013402,-121.281538
37.994349,-121.170404
37.968718,-121.329925
37.989793,-121.323335
37.994342,-121.170421
38.01499,-121.354964
37.989793,-121.323335
37.979135,-121.473869
37.823101,-121.288174
37.932188,-121.27844
37.739996,-121.449449
37.993319,-121.304163
38.021681,-121.347279
37.959026,-121.26865
38.013402,-121.281538
37.994349,-121.170404
37.994342,-121.170421
37.994342,-121.170421
37.954694,-121.28549
37.739996,-121.449449
37.739996,-121.449449
37.954834,-121.243
37.907673,-121.315001
37.907673,-121.315001
38.021078,-121.276157
38.162174,-121.260186
37.739996,-121.449449
37.931607,-121.312145
37.918846,-121.234158
38.013402,-121.281538
37.967067,-121.324583
37.97797,-121.291682
37.994349,-121.170404
37.989793,-121.323335
37.739996,-121.449449
37.739996,-121.449449
37.739996,-121.449449
38.015162,-121.354993
38.015162,-121.354993
37.823101,-121.288174
38.021681,-121.347279
38.042549,-121.34706
37.756513,-121.468153
38.117041,-121.301709
38.117041,-121.301709
38.021681,-121.347279
37.932188,-121.27844
37.932188,-121.27844
37.825082,-121.288965
37.983518,-121.320429
37.823101,-121.288174
38.013402,-121.281538
37.994342,-121.170421
37.907673,-121.315001
37.989793,-121.323335
37.989793,-121.323335
37.762302,-121.551624
37.959159,-121.312903
38.013402,-121.281538
37.762302,-121.551624
38.04926,-121.377127
37.989793,-121.323335
37.762302,-121.551624
37.762302,-121.551624
38.012097,-121.322478
37.963876,-121.31695
37.959026,-121.26865
38.013402,-121.281538
37.994342,-121.170421
37.907673,-121.315001
37.984304,-121.296785
37.963876,-121.31695
38.04926,-121.377127
38.04926,-121.377127
38.04926,-121.377127
37.999623,-121.303583
38.004157,-121.292462
38.022489,-121.321218
38.022489,-121.321218
37.959159,-121.312903
37.918846,-121.234158
38.013402,-121.281538
37.984304,-121.296785
37.967067,-121.324583
37.994349,-121.170404
37.954834,-121.243
37.968718,-121.329925
37.739996,-121.449449
38.132043,-121.269352
37.907673,-121.315001
37.907673,-121.315001
38.132132,-121.273565
37.999623,-121.303583
37.984304,-121.296785
38.04926,-121.377127
37.968718,-121.329925
37.994799,-121.312161
38.013402,-121.281538
37.994342,-121.170421
37.994342,-121.170421
37.984304,-121.296785
38.017467,-121.307921
37.999623,-121.303583
37.999623,-121.303583
37.999623,-121.303583
37.994342,-121.170421
37.968718,-121.329925
37.968718,-121.329925
38.115841,-121.296425
37.968718,-121.329925
37.754199,-121.455801
37.959026,-121.26865
37.966824,-121.287482
38.022489,-121.321218
37.825082,-121.288965
38.017467,-121.307921
37.999623,-121.303583
37.918846,-121.234158
37.959159,-121.312903
37.967067,-121.324583
37.994349,-121.170404
37.954834,-121.243
37.693188,-121.434324
37.959026,-121.26865
37.985239,-121.30514
37.913787,-121.311904
38.017467,-121.307921
37.954834,-121.243
38.022489,-121.321218
37.747409,-121.395412
38.021083,-121.346081
38.017467,-121.307921
37.994799,-121.312161
38.022489,-121.321218
38.035276,-121.348347
38.001574,-121.316445
37.968718,-121.329925
38.001574,-121.316445
37.994342,-121.170421
37.986221,-121.34206
37.954834,-121.243
37.954834,-121.243
37.994349,-121.170404
37.985239,-121.30514
37.912336,-121.299436
37.927202,-121.260933
37.825082,-121.288965
37.882937,-121.282564
37.959159,-121.312903
38.004815,-121.322121
38.001574,-121.316445
37.967067,-121.324583
37.994349,-121.170404
37.985059,-121.3505
37.908059,-121.24869
38.022489,-121.321218
38.021078,-121.276157
37.825082,-121.288965
37.909473,-121.248687
38.001574,-121.316445
37.96315,-121.287424
37.96315,-121.287424
37.751253,-121.471862
37.751527,-121.472046
37.785509,-121.218571
37.984304,-121.296785
37.785509,-121.218571
37.751253,-121.471862
37.914607,-121.248028
37.984038,-121.351468
38.017636,-121.297499
37.974811,-121.291914
37.954916,-121.285486
38.001574,-121.316445
37.954662,-121.285437
38.017467,-121.307921
37.751527,-121.472046
37.954916,-121.285486
37.954916,-121.285486
38.001574,-121.316445
38.001574,-121.316445
37.954662,-121.285437
37.954662,-121.285437
37.954662,-121.285437
38.017636,-121.297499
38.001574,-121.316445
37.992311,-121.284039
38.055838,-121.375674
38.049838,-121.376231
37.999066,-121.321429
38.117041,-121.301709
38.137101,-121.273791
37.751527,-121.472046
37.825082,-121.288965
38.017467,-121.307921
38.004157,-121.292462
37.823101,-121.288174
37.898215,-121.3227
38.004815,-121.322121
37.967067,-121.324583
38.004157,-121.292462
37.98815,-121.31479
37.914607,-121.248028
38.017467,-121.307921
38.033948,-121.270151
38.033948,-121.270151
38.055838,-121.375674
38.033948,-121.270151
38.033948,-121.270151
37.959159,-121.312903
38.033948,-121.270151
37.97797,-121.291682
37.991738,-121.305645
38.04926,-121.377127
37.799109,-121.216637
37.983836,-121.341636
38.022677,-121.27358
38.01937,-121.297861
38.017112,-121.281217
37.755884,-121.465502
38.055838,-121.375674
38.055838,-121.375674
38.017467,-121.307921
38.017467,-121.307921
37.725094,-121.529429
37.882432,-121.289949
37.825082,-121.288965
38.017112,-121.281217
37.898215,-121.3227
38.004815,-121.322121
37.967067,-121.324583
37.978529,-121.321705
38.017112,-121.281217
37.993319,-121.304163
38.008507,-121.321322
38.055838,-121.375674
37.725094,-121.529429
37.752685,-121.45546
38.017112,-121.281217
37.752685,-121.45546
37.725094,-121.529429
37.725094,-121.529429
37.989024,-121.311387
37.752685,-121.45546
37.752685,-121.45546
37.780139,-121.002665
37.989024,-121.311387
37.989024,-121.311387
37.825082,-121.288965
37.959159,-121.312903
38.004815,-121.322121
37.967067,-121.324583
38.052011,-121.372059
38.049838,-121.376231
37.952132,-121.286921
37.752685,-121.45546
38.004498,-121.294577
38.055968,-121.375695
37.994342,-121.170421
37.751527,-121.472046
37.734416,-121.425306
37.751527,-121.472046
37.734416,-121.425306
38.021718,-121.315815
37.751527,-121.472046
38.004498,-121.294577
38.004498,-121.294577
37.954105,-121.289382
37.693188,-121.434324
37.992747,-121.300523
38.017112,-121.281217
38.004498,-121.294577
37.825082,-121.288965
37.693188,-121.434324
38.004815,-121.322121
37.959159,-121.312903
38.004815,-121.322121
37.967067,-121.324583
37.693188,-121.434324
38.004498,-121.294577
38.02331,-121.357671
37.969883,-121.288667
37.920054,-121.241555
37.920054,-121.241555
37.920054,-121.241555
37.920054,-121.241555
37.920054,-121.241555
37.920054,-121.241555
37.907673,-121.315001
37.739996,-121.449449
38.012985,-121.298085
37.920054,-121.241555
38.133529,-121.264697
38.133529,-121.264697
38.133529,-121.264697
38.133529,-121.264697
38.133529,-121.264697
38.133529,-121.264697
38.133529,-121.264697
38.133529,-121.264697
38.007122,-121.296855
37.699327,-121.425733
38.007122,-121.296855
38.007122,-121.296855
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
38.009906,-121.300452
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.714621,-121.431919
38.007122,-121.296855
38.033605,-121.354565
38.007122,-121.296855
38.007122,-121.296855
38.007122,-121.296855
37.956677,-121.339666
37.986672,-121.268805
38.009906,-121.300452
37.699327,-121.425733
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
38.009906,-121.300452
38.007122,-121.296855
37.956677,-121.339666
38.003039,-121.34914
37.956677,-121.339666
37.956677,-121.339666
38.009906,-121.300452
38.009906,-121.300452
37.956677,-121.339666
38.00932,-121.316082
37.987336,-121.244976
38.02151,-121.324454
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.942074,-121.269576
37.788883,-121.293283
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
37.956677,-121.339666
